"idb","names","descriptions","images","prices","siteofficiel","categories","linkproducts","desponiblitys","logoofficiel"
"45"," NOKIA 2.1 4G Bleu Copper"," Ecran:5.5 HDRésolution:1280 x 720 pixels Systéme d'exploitation: Android 8.1 OreoProcesseur:Qualcomm Snapdragon425QuadCore1.4 GHz MémoireRAM:1 Go Stockage:8 GoExtensible Jusqu'à128 GoAppareil Photo...","https://static.mytek.tn/img/p/7/2/4/8/7/72487-product_category.jpg","279.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/20191-smartphone-nokia-21-4g-bleu-copper.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"46"," XIAOMI Redmi GO 4G Noir"," Ecran5 HD(1280 x 720 Pixels) Processeur:Qualcomm Snapdragon 425QuadCore1.4 GHz Systéme d'exploitation:Android 8.1Mémoire RAM:1GoStockage:16GoDoubleSIMAppareil Photo Arriére:8.0MPFlash LED...","https://static.mytek.tn/img/p/7/6/0/1/9/76019-product_category.jpg","289.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26146-smartphone-xiaomi-redmi-go-4g-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"47"," IKU A20 - Gris (IKU-A20-GRAY)"," Ecran: 6.1HDProcesseur:Octa coreSpreadtrum SC9863A(8x 1.6 GHz CortexA55)Système d'exploitation:AndroidMémoire RAM:2 GoStockage:32 GoAppareil Photo Arriére:13 MP + 0.3 MP.flash LED  Appareil Photo Frontale:5...","https://static.mytek.tn/img/p/8/0/9/2/7/80927-product_category.jpg","289.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28442-smartphone-iku-a20-gris-iku-a20-gray.html"," COMMANDE 48H ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"48"," XIAOMI Redmi GO 4G Bleu"," Ecran5 HD(1280 x 720 Pixels) Processeur:Qualcomm Snapdragon 425QuadCore1.4 GHz Systéme d'exploitation:Android 8.1Mémoire RAM:1GoStockage:16GoDoubleSIMAppareil Photo Arriére:8.0MPFlash LED...","https://static.mytek.tn/img/p/7/6/0/1/7/76017-product_category.jpg","289.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26145-smartphone-xiaomi-redmi-go-4g-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"49"," NOKIA 2.2 2019 Steel"," Ecran5.71” HD+(1280x 720)Processeur: MediaTek Helio A22Quadcore2 GHz Systéme d'exploitation: Android 9.0MémoireRAM:2 Go Stockage:16 GoExtensible Jusqu'à128 GoAppareil Photo Arriére:13.0 MégaPixels...","https://static.mytek.tn/img/p/7/4/3/1/7/74317-product_category.jpg","299.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/25188-smartphone-nokia-22-2019-stell.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"50"," NOKIA 2.2 2019 Noir"," Ecran5.71” HD+(1280x 720)Processeur: MediaTek Helio A22Octacore2 GHz Systéme d'exploitation: Android 9.0MémoireRAM:2 Go Stockage:16 GoExtensible Jusqu'à128 GoAppareil Photo Arriére:13.0 MégaPixels...","https://static.mytek.tn/img/p/7/3/0/3/2/73032-product_category.jpg","299.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24583-smartphone-nokia-22-2019-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"51"," SAMSUNG Galaxy J2 Core 4G Gold (SM-J260FD)"," Ecran:5.0LCD TFTRésolution:540 x 960 pixels Systéme d'exploitation: Android 8.1 Oreo(Go edition)Processeur:Exynos 7570QuadCore1.4 GHzMémoireRAM:1 Go Stockage:8 GoExtensible Jusqu'à256...","https://static.mytek.tn/img/p/7/2/4/8/0/72480-product_category.jpg","299.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/20302-smartphone-samsung-galaxy-j2-core-4g-gold-sm-j260fd.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"52"," SAMSUNG Galaxy J2 Core 4G Violet (SM-J260FD)"," Ecran:5.0LCD TFTRésolution:540 x 960 pixels (qHD) Systéme d'exploitation: Android 8.1 Oreo(Go edition)Processeur:Exynos 7570QuadCore1.4 GHzMémoireRAM:1 Go Stockage:8 GoExtensible Jusqu'à256...","https://static.mytek.tn/img/p/6/5/9/1/6/65916-product_category.jpg","299.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/20295-smartphone-samsung-galaxy-j2-core-4g-violet-sm-j260fd.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"53"," HUAWEI Y5 Lite 2018 4G Brown"," Ecran5.45IPSHD+(1440 x 720pixels)Processeur:MediaTek MT6739QuadCore 1.5 GHzSystéme d'exploitation:Android 8.1 OreoMémoire RAM:1 GoStockage:16 GoDoubleSIMAppareil Photo...","https://static.mytek.tn/img/p/7/9/1/8/7/79187-product_category.jpg","319.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/27617-smartphone-huawei-y5-lite-2018-4g-brown.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"54"," HUAWEI Y5 Lite 2018 4G Noir"," Ecran5.45IPSHD+ (1440 x 720pixels)Processeur:MediaTek MT6739QuadCore 1.5 GHzSystéme d'exploitation:Android 8.1 OreoMémoire RAM:1 GoStockage:16 GoDoubleSIMAppareil Photo...","https://static.mytek.tn/img/p/8/1/4/1/0/81410-product_category.jpg","319.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/21037-smartphone-huawei-y5-lite-2018-4g-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"55"," HUAWEI Y5 Lite 2018 4G Bleu"," Ecran5.45IPSHD+(1440 x 720pixels)Processeur:MediaTek MT6739QuadCore 1.5 GHzSystéme d'exploitation:Android 8.1 OreoMémoire RAM:1 GoStockage:16 GoDoubleSIMAppareil Photo...","https://static.mytek.tn/img/p/7/2/4/7/0/72470-product_category.jpg","319.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/21129-smartphone-huawei-y5-lite-2018-4g-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"56"," SAMSUNG A2 Core 4G Bleu (SM-A260-BLUE)"," Ecran:5.0LCDIPS  Résolution:540 x 960 pixels Systéme d'exploitation:Android 8.0 Oreo(Go edition)Processeur:Exynos 7870OctaCore1.6 GHzMémoireRAM:1 Go Stockage:16 GoExtensible Jusqu'à1...","https://static.mytek.tn/img/p/7/2/4/7/3/72473-product_category.jpg","329.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24496-smartphone-samsung-a2-core-4g-bleu-sm-a260-red.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"57"," SAMSUNG A2 Core 4G Gris Foncé (SM-A260-DGREY)"," Ecran:5.0LCDIPS Résolution:540 x 960 pixels Systéme d'exploitation:Android 8.0 Oreo(Go edition)Processeur: Exynos 7870OctaCore1.6 GHzMémoireRAM:1 Go Stockage:16 GoExtensible Jusqu'à1...","https://static.mytek.tn/img/p/7/2/4/7/4/72474-product_category.jpg","329.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24494-smartphone-samsung-a2-core-4g-gris-fonce-sm-a260-dgrey.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"58"," SAMSUNG A2 Core 4G Rouge (SM-A260-RED)"," Ecran:5.0LCDIPS  Résolution:540 x 960 pixels Systéme d'exploitation:Android 8.0 Oreo(Go edition)Processeur:Exynos 7870OctaCore1.6 GHzMémoireRAM:1 Go Stockage:16 GoExtensible Jusqu'à1...","https://static.mytek.tn/img/p/7/2/4/7/1/72471-product_category.jpg","329.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24492-smartphone-samsung-a2-core-4g-rouge-sm-a260-red.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"59"," LEAGOO M9 3G - Bleu"," Ecran:5.5IPS HD(1280 x 640 pixels) Processeur:MT6580AOctaCore1.3 GHz Système d'exploitation: Android 7.0Mémoire RAM: 2Go Mémoire de Stockage 16 Go(extensible jusqu'à 32Go) Nombre de SIM:Double SIM Appareil Photo...","https://static.mytek.tn/img/p/7/2/4/6/7/72467-product_category.jpg","339.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/20712-smartphone-leagoo-m9-3g-bleu.html"," EPUISE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"60"," TECNO Pop 2 S Pro - Bleu"," Ecran:5.5HD IPS LCDProcesseur:Quad core1.3GHzSystème d'exploitation:Android 8.1Mémoire RAM:2GStockage:32 Go Appareil Photo13 MP(Arriére) + Flash LED. 8 MP(Avant)Capacité de Batterie:3050...","https://static.mytek.tn/img/p/7/3/1/8/3/73183-product_category.jpg","355.000 ","Mytek","smartphone","https://www.mytek.tn/home/24626-smartphone-tecno-pop-2-s-pro-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"61"," TECNO Pop 2 S Pro - Noir"," Ecran:5.5HD IPS LCDProcesseur:Quad core1.3GHzSystème d'exploitation:Android 8.1Mémoire RAM:2GStockage:32 Go Appareil Photo13 MP(Arriére) + Flash LED. 8 MP(Avant)Capacité de Batterie:3050...","https://static.mytek.tn/img/p/7/3/1/8/1/73181-product_category.jpg","355.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24622-smartphone-tecno-pop-2-pro-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"62"," NOKIA 2.3 Gold"," Ecran6.2” HD+(720 x 1520 pixels)avec encoche à selfies Processeur:MediaTek Helio A22QuadCore2.0 GHz Systéme d'exploitation: Android 9.0 Pieupgrade to Android 10.0; Android OneMémoireRAM:2 Go Stockage:32 GoExtensible...","https://static.mytek.tn/img/p/8/2/3/5/5/82355-product_category.jpg","369.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/29243-smartphone-nokia-23-gold-.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"63"," NOKIA 2.3 Gris"," Ecran6.2” HD+(720 x 1520 pixels)avec encoche à selfies Processeur:MediaTek Helio A22QuadCore2.0 GHz Systéme d'exploitation: Android 9.0 Pieupgrade to Android 10.0; Android OneMémoireRAM:2 Go Stockage:32 GoExtensible...","https://static.mytek.tn/img/p/8/1/5/8/7/81587-product_category.jpg","369.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28847-smartphone-nokia-23-gris.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"64"," NOKIA 2.3 Vert"," Ecran6.2” HD+(720 x 1520 pixels)avec encoche à selfies Processeur:MediaTek Helio A22QuadCore2.0 GHz Systéme d'exploitation: Android 9.0 Pieupgrade to Android 10.0; Android OneMémoireRAM:2 Go Stockage:32 GoExtensible...","https://static.mytek.tn/img/p/8/1/5/7/8/81578-product_category.jpg","369.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28839-smartphone-nokia-23-gris.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"65"," OPPO A1K 4G - Rouge + Abonnement IPTV"," Ecran6.1 IPSLCD(720 x 1560Pixels) Processeur:Mediatek MT6765 Helio P22OctaCore(2 GHz CortexA53)Systéme d'exploitation:Android 9.0 (Pie)Mémoire RAM:2GoStockage:32Go extensible jusqu'à256Go via carte Micro...","https://static.mytek.tn/img/p/7/8/6/7/0/78670-product_category.jpg","369.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/27348-smartphone-oppo-a1k-4g-rouge.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"66"," OPPO A1K 4 G - Noir + Abonnement IPTV"," Ecran6.1 IPS LCD(720 x 1560Pixels)Processeur:Mediatek MT6765 Helio P22OctaCore(2 GHz CortexA53)Systéme d'exploitation:Android 9.0 (Pie)Mémoire RAM:2GoStockage:32Go extensible jusqu'à256Go via carte Micro...","https://static.mytek.tn/img/p/7/8/6/6/7/78667-product_category.jpg","369.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/27347-smartphone-oppo-a1k-4-g-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"67"," HUAWEI Y5 2019 - Brown"," Ecran5.71 LCD IPS(720 x 1520 Pixels)Processeur:Quadcore 2.0 GHz CortexA53Systéme d'exploitation:Android9.0Pie(EMUI 9)Mémoire RAM:2 GoStockage:32 GoDoubleSIMAppareil Photo Arriére:13 MP....","https://static.mytek.tn/img/p/7/2/5/0/6/72506-product_category.jpg","375.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24522-smartphone-huawei-y5-2019-brown.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
